state_abb,percent_trump2024
AL,64.57209205815222
AK,54.54480937497228
AZ,52.2170480988956
AR,64.19687217800987
CA,38.33290210346681
CO,43.14284416700989
CT,41.89390623134604
DE,41.79098948747544
FL,56.08834311631108
GA,50.71729539955493
HI,37.480283568253206
ID,66.87409466627922
IL,43.474955221708015
IN,58.58141702339073
IA,55.72682034209675
KS,57.15630792917396
KY,64.47214549801642
LA,60.21524931800346
ME,45.464080589385055
MD,34.08282302077389
MA,36.02282668994283
MI,49.72710995013229
MN,46.683139106062846
MS,60.932637420395785
MO,58.49064225708912
MT,58.389443169304656
NE,59.31807154514578
NV,50.5916462379785
NH,47.87322758879455
NJ,46.06463088544196
NM,45.85116141056505
NY,43.31499141603111
NC,50.85719058363357
ND,66.9568524127066
OH,55.13579902728741
OK,66.16210342024796
OR,40.96604444745428
PA,50.372536715586655
RI,41.76311780999092
SC,58.22862951015251
SD,63.43367791812964
TN,64.19393709149847
TX,56.1399597529967
UT,59.37665855556018
VT,32.319407073753055
VA,46.052200861041015
WA,39.01096744930358
WV,69.96684955362295
WI,49.5958711251628
WY,71.59800481698433
